"cid";"IUPAC Name";"SMILES"
"42";"2-hydroxy-6-oxonona-2,4-dienedioic acid";"C(C=CC(=O)CCC(=O)O)C(=O)C(O)=O"
"43";"2-hydroxypentanedioic acid";"C(CC(=O)O)C(C(O)=O)O"
"44";"2-hydroxypropanedioate";"O=C([O-])C(C(=O)[O-])O"
"45";"2-hydroxypropanedioic acid";"OC(=O)C(C(O)=O)O"
"46";"4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid";"OP(O)(OCC(C(O)CC(=O)C(=O)O)O)=O"
"47";"3-methyl-2-oxopentanoic acid";"C(O)(=O)C(C(CC)C)=O"
"48";"5-amino-2,5-dioxopentanoic acid";"O=C(N)CCC(=O)C(O)=O"
"49";"3-methyl-2-oxobutanoic acid";"CC(C)C(C(=O)O)=O"
"50";"3,4,5,6-tetrahydroxy-2-oxohexanoic acid";"C(C(O)=O)(C(C(C(CO)O)O)O)=O"
"51";"2-oxopentanedioic acid";"OC(=O)C(=O)CCC(=O)O"
"52";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylbutanethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(NCCSC(C(C)C(O)C)=O)=O)O"
"53";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methyl-3-oxobutanethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(NCCSC(C(C(C)=O)C)=O)=O)O"
"54";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(=O)NCCSC(C(C)CC)=O)O"
"55";"3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol";"CC(C)=CCCC(=CCCC(C)=CCCC(C)=CCCC(=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O)C)C"
"56";"2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol";"CC=CCCC(=CCCC(=CCCC(C)=CCCC(C)=CCCC(=CCCC(C)=CCCC(=CCc1cccc(c1O)OC)C)C)C)C"
"57";"2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol";"CC(C)=CCCC(=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(C)=CCCC(C)=CCc1c(cccc1)O)C)C"
"58";"2-oxobutanoic acid";"OC(C(=O)CC)=O"
"59";"3-hydroxy-2-phosphonooxypropanoic acid";"OP(O)(=O)OC(C(=O)O)CO"
"60";"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate";"OP(O)(=O)OC(C)(C(O)COP(O)(OP(=O)(OCC1C(C(C(N2C(N=C(N)C=C2)=O)O1)O)O)O)=O)CO"
"61";"2,3-diphosphonooxypropanoic acid";"OP(O)(OC(C(O)=O)COP(O)(O)=O)=O"
"62";"2,4,5-trichlorocyclohexa-2,5-dien-1-ol";"C1=C(Cl)C(C=C(Cl)C1Cl)O"
"63";"2,4-diaminopentanoic acid";"C(C(N)C)C(C(O)=O)N"
"64";"2,5-dichlorocyclohexa-2,5-diene-1,4-diol";"C1=C(Cl)C(C=C(Cl)C1O)O"
"65";"2,5-dichlorobenzene-1,4-diol";"Oc1c(Cl)cc(O)c(Cl)c1"
"66";"2,5-dichlorophenol";"c1cc(cc(O)c1Cl)Cl"
"67";"3,4,6-trihydroxy-2,5-dioxohexanoic acid";"OCC(C(O)C(O)C(C(=O)O)=O)=O"
"68";"2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol";"C1(C(OP(O)(=O)OP(OC1)(=O)O)(C)CO)O"
"69";"2-hydroxy-6-oxohepta-2,4-dienoic acid";"C(C=CC(C)=O)C(=O)C(O)=O"
"70";"4-methyl-2-oxopentanoic acid";"CC(C)CC(=O)C(=O)O"
"71";"2-oxohexanedioic acid";"OC(=O)C(=O)CCCC(=O)O"
"72";"3,4-dihydroxybenzoic acid";"c1cc(cc(c1O)O)C(O)=O"
"73";"[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate";"OP(O)(=O)OCC1OC(C(C1OP(O)(O)=O)O)n1c2ncnc(N)c2nc1"
"74";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(=O)NCCSC(CC(C)=O)=O)O"
"75";"3-aminopropanal";"O=CCCN"
"76";"3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one";"CC12C(CC(CC1)O)=CCC1C3C(C)(CCC12)C(CC3)=O"
"77";"2-hydroxy-2-propan-2-ylbutanedioic acid";"CC(C)C(CC(=O)O)(C(=O)O)O"
"78";"2-amino-3-chloropropanoic acid";"NC(CCl)C(=O)O"
"79";"pyridine-3-carbonitrile";"c1cncc(C#N)c1"
"80";"4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid";"O=C(O)C=1CC(O)C(C(C=1)=O)O"
"81";"4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid";"OP(O)(=O)OCC(O)C(O)C(CC(=O)C(O)=O)O"
"82";"5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid";"OP(O)(=O)OC1C(O)C(OC(=C)C(O)=O)CC(=C1)C(=O)O"
"83";"3-hydroxyphosphonoyl-2-oxopropanoic acid";"C(=O)(C(O)=O)C[PH](O)=O"
"84";"5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-hydroxy-3-methyl-5-oxopentanoic acid";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(NCCSC(CC(CC(O)=O)(C)O)=O)=O)O"
"85";"(3-carboxy-2-hydroxypropyl)-trimethylazanium";"C[N+](C)(C)CC(CC(=O)O)O"
"86";"2-amino-3-hydroxybenzoic acid";"c1c(C(=O)O)c(c(O)cc1)N"
"87";"3-hydroxy-2-methylpropanoic acid";"C(C(C)C(=O)O)O"
"88";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylpropanethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(=O)NCCSC(=O)C(C)CO)O"
"89";"2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid";"c1ccc(O)c(N)c1C(CC(C(O)=O)N)=O"
"90";"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-hydroxy-6-oxohexanoic acid";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(NCCSC(CC(CCC(O)=O)O)=O)=O)O"
"91";"3-(3-hydroxyphenyl)propanoic acid";"c1ccc(cc1CCC(=O)O)O"
"92";"3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol";"c12nccc(C(C3CC4CCN3CC4(C=C)O)O)c1cc(OC)cc2"
"93";"3-oxohexanedioic acid";"O=C(O)CCC(=O)CC(=O)O"
"94";"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4,6-dioxohexanoic acid";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(=O)NCCSC(CC(CCC(=O)O)=O)=O)O"
"95";"2,4,5,6-tetrahydroxy-3-oxohexanoic acid";"C(C(CO)O)(C(C(C(O)=O)O)=O)O"
"96";"3-oxobutanoic acid";"CC(CC(=O)O)=O"
"97";"3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one";"C1(OC2C(C(=O)C(C(CO)O2)O)O)C(OC(O)C(O)C1O)CO"
"98";"2-oxo-3-sulfanylpropanoic acid";"C(CS)(=O)C(O)=O"
"99";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-methylbut-2-enethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(NCCSC(C=C(C)C)=O)=O)O"
"100";"4-hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid";"CC(C)=CCCC(=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(C)=CCCC(C)=CCc1c(ccc(c1)C(O)=O)O)C)C)C"
"101";"3-hydroxybenzaldehyde";"c1cc(cc(O)c1)C=O"
"102";"3-(hydroxymethyl)phenol";"c1ccc(cc1CO)O"
"103";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 4-(7,12-dihydroxy-10,13-dimethyl-3-oxo-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(NCCSC(=O)CCC(C)C1C2(C(CC1)C1C(O)CC3CC(CCC3(C)C1CC2O)=O)C)=O)O"
"104";"2-(2-oxo-3H-furan-5-yl)acetic acid";"C=1CC(OC=1CC(=O)O)=O"
"105";"2-oxo-3-phosphonooxypropanoic acid";"OP(O)(=O)OCC(=O)C(O)=O"
"106";"2-amino-3-phosphonooxypropanoic acid";"OP(O)(=O)OCC(C(=O)O)N"
"107";"3-phenylpropanoic acid";"c1ccccc1CCC(O)=O"
"108";"2-pyridin-3-ylacetic acid";"c1cncc(CC(=O)O)c1"
"109";"2-amino-3-sulfinopropanoic acid";"OS(=O)CC(N)C(=O)O"
"110";"2-oxo-3-sulfinopropanoic acid";"OC(=O)C(=O)CS(=O)O"
"111";"3-(carbamoylamino)propanoic acid";"O=C(NCCC(=O)O)N"
"112";"3-hydroxy-2-oxo-4-phosphonooxybutanoate";"OP(O)(=O)OCC(O)C(=O)C([O-])=O"
"113";"3-hydroxy-2-oxo-4-phosphonooxybutanoic acid";"OP(O)(=O)OCC(C(=O)C(O)=O)O"
"114";"4-pyridin-3-ylbutanoic acid";"c1cncc(c1)CCCC(=O)O"
"115";"(5-amino-3,4-dihydroxyoxan-2-yl) dihydrogen phosphate";"OP(O)(=O)OC1OCC(C(C1O)O)N"
"116";"4-amino-3-(1-carboxyethenoxy)cyclohexa-1,5-diene-1-carboxylic acid";"C=C(OC1C=C(C=CC1N)C(=O)O)C(O)=O"
"117";"4-amino-1H-imidazole-5-carboxylic acid";"[nH]1cnc(N)c1C(=O)O"
"118";"4-aminobutanal";"C(CC=O)CN"
"119";"4-aminobutanoic acid";"C(CN)CC(=O)O"
"120";"2-(5-oxofuran-2-ylidene)acetic acid";"C=1C(OC(=O)C=1)=CC(O)=O"
"121";"[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,3,4-trihydroxy-3-methylbutyl) hydrogen phosphate";"OC1C(C(OC1N1C(=O)N=C(N)C=C1)COP(OP(OCC(C(O)(C)CO)O)(=O)O)(=O)O)O"
"122";"4,6-dioxooct-2-enedioic acid";"C(=O)(CC(CC(=O)C=CC(O)=O)=O)O"
"123";"4-(diaminomethylideneamino)butanamide";"NC(N)=NCCCC(=O)N"
"124";"4-hydroxy-2-oxopentanoic acid";"C(CC(=O)C(O)=O)(C)O"
"125";"4-(hydroxymethyl)phenol";"c1cc(ccc1O)CO"
"126";"4-hydroxybenzaldehyde";"c1cc(ccc1O)C=O"
"127";"2-(4-hydroxyphenyl)acetic acid";"c1cc(ccc1O)CC(=O)O"
"128";"3-(5-oxo-1,4-dihydroimidazol-4-yl)propanoic acid";"C=1NC(C(N=1)CCC(=O)O)=O"
"129";"4-methylpentanal";"CC(C)CCC=O"
"130";"2-hydroxy-4-oxobutane-1,2,4-tricarboxylic acid";"O=C(O)CC(C(=O)O)(O)CC(C(O)=O)=O"
"131";"3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoic acid";"OP(O)(OCC(C)(C)C(O)C(=O)NCCC(=O)O)=O"
"132";"2-[3-[(2-hydroxy-3,3-dimethyl-4-phosphonooxybutanoyl)amino]propanoylamino]-3-sulfanylpropanoic acid";"OP(O)(OCC(C)(C)C(C(=O)NCCC(NC(CS)C(O)=O)=O)O)=O"
"133";"trimethyl(4-oxobutyl)azanium";"C[N+](C)(C)CCCC=O"
"134";"3-carboxypropyl(trimethyl)azanium";"C[N+](C)(C)CCCC(=O)O"
"135";"4-hydroxybenzoic acid";"c1cc(ccc1C(=O)O)O"
"137";"5-amino-4-oxopentanoic acid";"O=C(CCC(=O)O)CN"
"138";"5-aminopentanoic acid";"C(CCN)CC(=O)O"
"139";"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol";"CC(C)CCCC(C1C2(C(CC1)C1C(C3(C)CCC(O)CC3CC1O)CC2O)C)C"
"140";"17-(7-hydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol";"OC1CC2CC(C3C4CCC(C(CCCC(C)CO)C)C4(C(O)CC3C2(CC1)C)C)O"
"141";"(3,4-dihydroxy-5-oxooxan-2-yl) [[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate";"C(OP(OP(O)(OC1OCC(C(C1O)O)=O)=O)(O)=O)C1OC(N2C=CC(=O)NC2=O)C(C1O)O"
"142";"2-(6-aminopurin-9-yl)-5-methyloxolane-3,4-diol";"c1(c2c(ncn1)n(cn2)C1OC(C(C1O)O)C)N"
"144";"2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid";"c1c(O)ccc2c1c(CC(C(O)=O)N)c[nH]2"
"145";"2,3-dihydroxy-5-oxohexanedioic acid";"C(C(C(C(O)=O)O)O)C(=O)C(O)=O"
"149";"2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol";"c1(c2c(ncn1)n(cn2)C1OC(CSC)C(O)C1O)N"
"150";"(5-amino-3,4-dihydroxyoxolan-2-yl)methyl dihydrogen phosphate";"OP(O)(OCC1OC(C(O)C1O)N)=O"
"151";"[5-[(2-formamidoacetyl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate";"OP(O)(OCC1OC(NC(CNC=O)=O)C(O)C1O)=O"
"152";"[5-[(2-aminoacetyl)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate";"OP(O)(OCC1C(C(O)C(NC(CN)=O)O1)O)=O"
"153";"[5-(5-aminoimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate";"OP(O)(=O)OCC1C(O)C(C(n2cncc2N)O1)O"
"154";"[5-[(1-amino-2-formamidoethylidene)amino]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate";"OP(O)(OCC1OC(C(C1O)O)N=C(N)CNC=O)=O"
"155";"4-(carbamoylamino)-1H-imidazole-5-carboxylic acid";"O=C(O)c1c(NC(=O)N)nc[nH]1"
"156";"5,6,7,8-tetrahydropteridine";"N1c2c(NCC1)ncnc2"
"157";"2,3,4,6-tetrahydroxy-5-oxohexanoic acid";"OCC(C(C(O)C(O)C(=O)O)O)=O"
"158";"7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]hept-5-enoic acid";"C(CC)CCC(O)C=CC1C(O)CC(C1CC=CCCCC(=O)O)=O"
"159";"5-[5-hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta[b]furan-2-ylidene]pentanoic acid";"C12CC(C(C=CC(O)CCCCC)C1CC(O2)=CCCCC(=O)O)O"
"160";"7-[3,5-dihydroxy-2-(3-hydroxyoct-1-enyl)cyclopentyl]hept-5-enoic acid";"O=C(O)CCCC=CCC1C(C=CC(O)CCCCC)C(CC1O)O"
"161";"[[3-(2-amino-4-oxo-4a,7,8,8a-tetrahydro-3H-pteridin-6-yl)-2,3-dihydroxypropoxy]-hydroxyphosphoryl] phosphono hydrogen phosphate";"OP(O)(OP(=O)(OP(OCC(O)C(O)C1=NC2C(=O)NC(N)=NC2NC1)(O)=O)O)=O"
"162";"6-amino-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid";"CC1(C)SC2C(N)C(=O)N2C1C(=O)O"
"163";"7-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-7-oxoheptanoic acid";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(=O)NCCSC(CCCCCC(O)=O)=O)O"
"164";"2-amino-6-diazo-5-oxohexanoic acid";"OC(=O)C(CCC(=O)C=[N+]=[N-])N"
"165";"5-amino-2,6-dihydroxy-6-oxohex-1-ene-1-diazonium";"OC(=O)C(CCC(O)=C[N+]#N)N"
"166";"1-(2-amino-4-oxo-4a,5,6,7,8,8a-hexahydro-3H-pteridin-6-yl)propane-1,2-dione";"CC(C(=O)C1NC2C(=O)NC(=NC2NC1)N)=O"
"167";"6,7-dihydropteridine";"N=1CCN=C2C=NC=NC=12"
"168";"[3,4,5-trihydroxy-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-2-yl]methyl dihydrogen phosphate";"OP(O)(=O)OCC1C(C(C(O)C(OC2C(CO)OC(O)C(O)C2O)O1)O)O"
"169";"5,12-dihydroxyicosa-6,8,10,14-tetraenoic acid";"C(CC=CCC(O)C=CC=CC=CC(O)CCCC(O)=O)CCC"
"172";"10,13-dimethyl-17-(6-methylheptan-2-yl)-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol";"CC(C)CCCC(C1CCC2C1(CCC1C3(C(=CC=C12)CC(O)CC3)C)C)C"
"173";"8-amino-7-oxononanoic acid";"O=C(O)CCCCCC(C(N)C)=O"
"174";"ethane-1,2-diol";"C(CO)O"
"175";"acetate";"CC([O-])=O"
"176";"acetic acid";"C(C)(=O)O"
"177";"acetaldehyde";"O=CC"
"178";"acetamide";"CC(N)=O"
"179";"3-hydroxybutan-2-one";"CC(=O)C(O)C"
"180";"propan-2-one";"CC(C)=O"
"181";"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] ethanethioate";"CC(C)(COP(O)(OP(=O)(OCC1C(OP(O)(O)=O)C(C(n2c3ncnc(N)c3nc2)O1)O)O)=O)C(C(=O)NCCC(=O)NCCSC(=O)C)O"
"182";"[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate";"CC(C)=CCCC(C)=CCCC(C)=CCCC(=CCCC(=CCCC(C)=CCCC(=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(=CCOP(O)(OP(O)(=O)OC1C(C(O)C(C(CO)O1)O)NC(=O)C)=O)C)C)C)C"
